%time,field.left,field.right
1418801849035868589,0.0,-0.0831130370498
1418801849133735018,0.0,0.0
1418801849233487104,0.0,0.0
1418801849333491257,0.0,0.0
1418801849433497862,0.0,0.0
1418801849533499917,0.0,0.0
1418801849634684144,0.0,0.0
1418801849733521333,0.0,0.0
1418801849833595658,0.0,0.0
1418801849933685380,0.0,0.0
1418801850034325290,0.0,0.0
1418801850133584488,0.0,0.0
1418801850233545111,0.0,0.0
1418801850333608875,0.0,0.0
1418801850433671695,0.0,0.0
1418801850534955318,0.0,0.0
1418801850637711478,0.0,0.0
1418801850737747402,0.0,0.0
1418801850834572838,0.0,0.0
1418801850944107031,0.0,0.0
1418801851037709129,0.0,0.0
1418801851133783044,0.0,0.0
1418801851238622114,0.0,0.0
1418801851334457918,0.0,0.0
1418801851437508206,0.0,0.0
1418801851540489347,0.0,0.0
1418801851640039968,0.0,0.0
1418801851739246947,0.0,0.0
1418801851838776836,0.0,0.0
1418801851933560460,0.0,0.0
1418801852044503817,0.0,0.0
1418801852138652528,0.0,0.0
1418801852233528526,0.0,0.0
1418801852333473923,0.0,0.0
1418801852447129446,0.0,0.0
1418801852536246335,0.0,0.0
1418801852635281595,0.0,0.0
1418801852738949376,0.664795994759,0.664795994759
1418801852843506851,0.831826508045,1.08137452602
1418801852945947919,0.996782422066,0.747586786747
1418801853043309836,1.16423344612,0.914754807949
1418801853136170060,1.1606117487,1.49221515656
1418801853234833148,1.33339011669,1.08337950706
1418801853336670899,1.57923817635,1.24676692486
1418801853439144016,1.57753264904,1.24542045593
1418801853542335394,1.33088231087,1.08134186268
1418801853634673943,1.32874810696,1.16265463829
1418801853733765253,1.24763977528,1.33081579208
1418801853846091819,1.16377079487,0.332505941391
1418801853933516215,0.996448338032,0.996448338032
1418801854034068126,0.748363316059,1.08096921444
1418801854145898081,0.581441521645,1.66126143932
1418801854234651741,0.746522307396,0.912416160107
1418801854336844854,0.916156947613,0.499721944332
1418801854435086949,0.998165130615,1.33088684082
1418801854533961490,0.831036865711,1.74517738819
1418801854634354194,0.498568981886,2.40974998474
1418801854742617216,0.0830690488219,2.32593345642
1418801854834253377,0.0,2.41157913208
1418801854935197863,0.24919565022,2.24276089668
1418801855033850607,0.9149518013,1.41401648521
1418801855134139335,0.747967720032,0.249322578311
1418801855240094720,0.498610585928,0.0831017643213
